PostID,Language,YearMonth,OriginalText,EnglishTranslation,Annotator1,Annotator2,FineLabel,Label3Class,Target,TargetPrimary,TargetSecondary,IncludeInAudit
POST_0171,Amharic,2021-02,[SLUR_TIGRAY]ዎች በህዝብ ቦታ ላይ እንኳን ሊታዩ አይገባም,the [SLUR_TIGRAY] should not even be seen in public spaces,Hate speech,Hate speech,Hate speech,Hate,Ethnicity,Ethnicity,,True
POST_0367,Afan Oromo,2021-02,Mootummaan qajeelfama ifaa bakka uummataa fayyadama irratti baasuu qaba,The government should issue clear guidance on the use of public spaces,Political speech,Political speech,Political speech,Neutral,Politics/Public policy,Politics,Public policy,True
POST_0314,Afan Oromo,2021-02,Har'a Jimmaa keessatti sagantaan amantii gaggeeffame,A religious program was held today in Jimmaa,Neutral,Neutral,Neutral,Neutral,Religion/Public space,Religion,Public space,True
POST_0947,Afan Oromo,2021-02,Harma muraa aanolee,The breast-cutting of Anole.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0213,Afan Oromo,2021-02,garee amantii sana nagaa Maqalee ni mancaasu,that religious group destroy the peace of Maqalee,Hate speech,Hate speech,Hate speech,Hate,Religion,Religion,,True
POST_0328,Amharic,2021-02,ትግራውያን እየቦታ ማግኘት ነው ወይስ የተገባ መብት ነው?,Are Tigrayans taking over space or exercising a legitimate right?,Ambiguous,Ambiguous,Ambiguous,,Ethnicity/Politics,Ethnicity,Politics,False
POST_0534,Afan Oromo,2021-02,"Abba qabsoo ganaamaa osoo lubbuun jiru waa'ee naafxaanyaa akkas jedhe. #Naafxaanyaan dimookraasiitti hin #amaanttu jedhe, biyyoon sitti haa salphaatu.","A founding father of the struggle, while he was still alive, said this about the Neftegna: 'The Neftegna does not believe in democracy.' May the earth rest light upon you [RIP blessing to the deceased elder].",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0344,Afan Oromo,2021-02,Bakka uummataa irratti argamuun isaanii sirrii dha?,Is their presence in public spaces appropriate?,Ambiguous,Ambiguous,Ambiguous,,Religion/Public space,Religion,Public space,False
POST_0616,Afan Oromo,2021-02,Dhigaa namati Ijanamatii Danganamatii Ilma namati Gotanamatii Mirganamtii Biyanamatii,"[Stylized chant, best-effort:] Blood belongs to the people; the eye belongs to the people; the [border] belongs to the people; the son belongs to the people; the hero belongs to the people; the right belongs to the people; the country belongs to the people.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0982,Amharic,2021-02,* [SLUR_OROMO] እና ሰገራ እያደረ ይገማል,[SLUR_OROMO] and feces stink the longer they sit.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0110,Amharic,2021-03,[SLUR_TIGRAY]ዎች ለAddis Ababa ሰላም አደጋ ናቸው,the [SLUR_TIGRAY] are a threat to peace in Addis Ababa,Ambiguous,Hate speech,Hate speech,Hate,Ethnicity,Ethnicity,,True
POST_0565,Afan Oromo,2021-03,Warraan naafxaanyaa Kan ummaanii oromodhaa haa jibuu,Let the Oromo people hate the Neftegna folk.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0006,Amharic,2021-03,ሐሰተኛ ዜና አታሰራጩ,Do not spread fake news,Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0099,Amharic,2021-03,በሕዝብ ቦታ ላይ ለሚደረጉ ሀይማኖታዊ መሰብሰቦች የጋራ ደንብ ማዘጋጀት ይጠቅማል,It is useful to prepare shared rules for religious gatherings in public spaces,Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0239,Amharic,2021-03,በሻሸመኔ ላይ ኦርቶዶክሶችና ሙስሊሞች በሰላም መጠቀም ያለባቸው የህዝብ ቦታ ነው,"In Shashemene, public space should be used peacefully by both Orthodox Christians and Muslims",Neutral,Counter speech,Counter speech,Counter,,,,True
POST_0097,Amharic,2021-03,ኦርቶዶክስን ወይም ሙስሊምን በበሽታ መወንጀል ሁከት ያመጣል,Blaming either Orthodox Christians or Muslims for disease creates unrest,Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0977,Amharic,2021-03,"በሌሎች አገሮች ሁሉ ስማቸው '[SLUR_OROMO]' ነው::
ለምሳሌ:-ሶማሌ ' [SLUR_OROMO]' ነው የሚላቸው:: ታንዛንያ "" [SLUR_OROMO]"" ነው::  ኬንያም ' [SLUR_OROMO]' / [SLUR_OROMO] ኦርማ : ይባላሉ::","[Faithful.] In every other country their name is '[SLUR_OROMO].' For example, the Somalis call them '[SLUR_OROMO]'; Tanzania, '[SLUR_OROMO]'; and Kenya, '[SLUR_OROMO]' / [SLUR_OROMO] Orma.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0506,Afan Oromo,2021-04,Haacee Koo duubbaatera Jijjiirama dhufee Oromoo maal Irraa Argatee jenaan Arabsoo Naafxaanyaa jedhe,"My Hachalu [is gone/spoke]: when asked 'the [2018] change came — what did the Oromo get out of it?', he answered, 'insulting the Neftegna [is all].'",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0521,Afan Oromo,2021-04,yaa qeerroo oromoo gara dhaaqni irraa gara galtuu caallaa jedhee oromoonni yeroo mamakuu huubadhaa gara itti si ergaarani sani didee deemtaa tanani kaa si eegatu maalii akka ta'ee beekii. Osoo akka qeerroo oromoo filaannooni isaa gara wboti. Achiit yoo dutees kabaajaa qabda kuni yoo dutees yoo jiraatees kabaajaa hin qabdu beekiii naafxaanyaa dhiigaa ilmani oromoo dhugee woggaa kumaatama deegaruuf deemtaa. Idoo deemtu sanit moo'achfimit beekii achii deemtee xaa'oo lafa taataa. Yoo si mijawee filaannoo kee gara gacheenaa saba isitiif dhaabaterti naanneessi.,"O Oromo Qeerroo — understand when Oromos waver about taking sides; know what awaits you if you refuse where they send you. For a true Oromo Qeerroo the choice is the WBO. Die there and you have honor; the other way, whether you live or die you have none — know it. [Otherwise] you go to prop up the Neftegna who has drunk Oromo children's blood for thousands of years. Where you'd go you'll be defeated and end up as fertilizer in the ground. If it suits you, turn your choice toward the shield that stands for its people.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0383,Amharic,2021-04,በሽረ አዲስ ደንብ ወጥቶ አንድ ሀይማኖት ብቻ የህዝብ ቦታ እንዲጠቀም ተፈቅዷል,A new rule in Shire allows only one religion to use public spaces,Misinformation,Misinformation,Misinformation,,Politics/Public policy,Politics,Public policy,False
POST_0995,Afan Oromo,2021-04,Umani ormo waboo fana hiriru qaba,[Faithful.] The Oromo people must march/protest alongside the WBO [OLA].,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0865,Amharic,2021-04,እናታችሁነን ብዱ። የኦሮሞ ችግር የሚሆንና የማይሆን ነገር አለማወቅ ነዉ ።,[Curse — your mother.] The Oromo's problem is not knowing what is and isn't possible [appropriate].,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0377,Afan Oromo,2021-04,Adaamaa keessatti eeyyamni sagantaa amantii seera tokko jalatti kennamuu qaba,"In Adaamaa, permits for religious programs should be issued under one rule",Political speech,Political speech,Political speech,Neutral,Religion/Public space,Religion,Public space,True
POST_0812,Amharic,2021-04,የአማራን ስጋ እየበላችሁ፣ ደሙንም እየጠጣችሁ በድሎት መኖር የስይጣን ባህሪ ነው። እግዚአብሔር የልባችሁን፣ የስራችሁን ይስጣችሁ።,[Faithful.] To live in luxury while eating the Amhara's flesh and drinking his blood is a satanic nature. May God repay you according to your hearts and your deeds.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0566,Afan Oromo,2021-04,Ummaatni yeroo ammaa gochaa garee naafxaanyaa kaleessa raawwaatee bahan balaleeffachaa jira.Gochi kun biyya diiguuf waan ta'ef faannoo amaara diina biyyatif ummaata oromoo waan ta'ef gocha Kan ni mormina.,"The people are now condemning the acts the Neftegna group committed yesterday. Because this act aims to dismantle the country, and because the Amhara Fano is an enemy of the country and of the Oromo people, we oppose this act.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0811,Amharic,2021-04,የኦሮሙማው አዲስ አበባን የማፍረሱ የመጨረሻ ቃል ! በሽመልስ አብዲሳ!,[Headline.] Oromummaa's final word on demolishing Addis Ababa! By Shimelis Abdisa!,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0644,Amharic,2021-04,ፍትሕ ለአርብቶ አደሩ መኖሪያው የገቢ ምንጭው የሆነውን ንብረቱን በግፍ የተቀማዊ ኢትዮጵያውያን ፍትህ አርብቶ ሰርቶ አገሩን አሳድገው ህዝቦችን አብልተው እራሳቸውና አካባቢዋቸውን እየረድ የኖሩ አባቶቻንን ፍትህ የህግ የበላይ ነት ይከበት የትይሒድ ፍትህ እግዚአብሔር ሆይ እውነትን ለተጨቆነ ወገኖቻችን!!!!,"(Amharic) Justice for the pastoralists! Justice for the Ethiopians whose dwelling and source of income — their property — was unjustly seized. Justice for our fathers who herded and laboured, built up the country, fed the peoples, and lived helping themselves and their communities. Let the rule of law be honoured. Justice for unity. O God, [bring] truth to our oppressed kinfolk!!!!",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0569,Afan Oromo,2021-04,Yoo oromofi jechaa jirreenyaa ofii dhiisuu jaara Abbaa Gaada faakata. Yoo saba isaa keesaa soocho'e dhugaa jirtuu Uumaata ofiti himuu. Nadhii Gaamaada faakata. Yoo jaarmiiyaa oromo ijaaruufi hoojaatuu Baaroo tumsaa faakata. Yoo tookuumaa saabaa tiiksuu maagarsaa Baarii faakata. Yoo tooftaadhaan hidhaa diinaa haarkaa baayuu Abdisaa Aagaa faakata. yoo dhugaa saabafi naafxaanyaa kookee qaabuu Hacaluu Hundesaa faakata. Yoo miirgaa dhaala naamafi qaabsaayuu Nesl Mandela faakata. Waalumaa gaalati [Jawar](https://www.facebook.com/jawar.mahammad.75) [Mohammed](https://www.facebook.com/jawar.mahammad.75),"[PROVISIONAL] When he sacrifices his own life for the Oromo, he resembles the Abbaa Gadaa; speaking truth among his people, Nadhi Gamada; building and working for Oromo organization, Baro Tumsa; guarding the nation's unity, Magarsa Bari; freeing prisoners from the enemy by strategy, Abdisa Aga; speaking truth to the nation and to the Neftegna, Hachalu Hundessa; fighting for human rights, Nelson Mandela. All in all — thanks, Jawar Mohammed.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0148,Amharic,2021-04,[SLUR_OROMO]ዎች ከመንግስት ቢሮዎች ሁሉ መውጣት አለባቸው,the [SLUR_OROMO] should be removed from all government offices,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0116,Amharic,2021-04,ነፈጠኛዎች በህዝብ ቦታ ላይ እንኳን ሊታዩ አይገባም,the Neftegna should not even be seen in public spaces,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0691,Amharic,2021-04,"ይህ በአሜሪካ ነጭነት መታገያው የሆነ ጽንፈኛ የጥላቻ ቡድን ነው።አሜሪካ ከስደተኛ መጤዎች የነጻች መሆን አለባት ብሎ የሚያምን በታሪክ ጥቁሮችን ጠልና ኢላማ አድርጎ እሚንቀሳቀስ ግሩፕ ዌብሳይቱ ላይ "" በሀገራችን ኩራት እሚሰማን እኛ አላማችን ለሁሉም የተመቸ ህብረተሰብ መገንባትና የጥላቻ ሳይሆን የፍቅር ቡድን የሆንን ነን""በሚል እራሱን ይገልጻል።እንግሊዛዊው ጋዜጠኛ ጌሪ ያንግ Angry,White and American በሚል ትራምፕ የተመረጠ ሰሞን ባዘጋጀው ዶክመንተሪ ላይ እሪቻርድ እስፔንሰር የተሰኝውን የአልትራ-ራይት ብድን መሪ ለቃለመጠይቅ ጋብዞት ግን ደሞ ሳይስማሙ ባቁዋረጠው ኢንተርቪው ላይ ለነጭነት የነጮች ብቻ የሆነች ሀገር ነው ትትርናህ ብሎ ሲጠይቀው በትክክል እውነት ነው ነጮች ብቻ እሚኖሩበት ሀገር ነው እምንፈልገው ይህ ሀገር የኛ ነው መሬቱም የኛ ነው አንተ ለምን ትቃወመናለህ አንተ ወደእኛ መጣህ እንጂ እኛ አልመጣንብህም ነበር ያለው። ነጭነትም በለው ጥቁርነት ኦሮሙማም በለው አማራነት ትግራዋይነትም ይሁን ሲዳማነት የለት ኑሮህን ትኖርበታለህ፣ማህበራዊ ህይወት ትመሰርትበታለህ እንጂ - እምትጠቀምበት -እምትታገልበት እምታቅራራበት እምትፎክርበት ከሆነ ጽንፈኝነት በመጨረሻም አጥፊነት እና ጠፊነት ነው አይጠቅምም በአሜሪካ ካጠቃላይ ህዝቧ ከግማሽ በላይ 57% የሆኑት ነጮች ይህን ኬኬኬ አጥብቀው የሚቃወሙ የሚጠሉ እና አሜሪካዊነታቸውን የሚያስቀድሙ ናቸው። ኢትዬጵያዊነትም ከቀደመ ማንም በሀገሩ ባይተዋርና ባእድ አይሆንም ኢትዬጵያዊነት ይቅደም","[Condensed, faithful.] Uses the US white-nationalist movement as a cautionary analogy: describes an 'extremist hate group' that wants America cleansed of immigrants and historically targets Black people while branding itself a 'group of love, not hate.' Recounts British journalist Gary Younge's documentary 'Angry, White and American,' in which alt-right figure Richard Spencer insists the US should be a whites-only country — 'this land is ours; you came to us.' The poster argues that whiteness, Blackness, Oromummaa, Amhara-ness, Tigrayan-ness or Sidama-ness are fine as identities you simply live and build social life within — but the moment you weaponise them to exploit, fight, boast or threaten, they become extremism and ultimately mutual destruction. Notes that over half of white Americans (57%) strongly reject the KKK and put their American identity first, and concludes that if Ethiopianness comes first, no one is a stranger in his own country — 'let Ethiopianness come first.'",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0966,Amharic,2021-04,"እስከ ዛሬ ድረስ ህዝባችንን ""[SLUR_OROMO]"" እያለ በሚጠራ ዘረኛ እና ሸፍጠኛ ስረዓትን ለአገር አንድነት እና ለህዝቦች አብሮነት ስንል ብዙ ዘረኛ መድሎዎች እና ስድቦችን ችለን ኖርናል። አሁን በቃን። የዚህ ዘረኛ እና ሸፍጠኛ ቡድን ግበዓተ መሬት መፈፀም አለበት። ","[Faithful.] For the sake of national unity and coexistence we have, to this day, endured many racist discriminations and insults from a racist, deceitful system that calls our people '[SLUR_OROMO].' Now we have had enough. This racist, deceitful group must be given its burial [be eliminated].",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0397,Afan Oromo,2021-04,Sirni Ortodoksii COVID guutumaan guutuutti ni balleessa,Orthodox Christians rituals completely eliminate COVID,Misinformation,Misinformation,Misinformation,,Religion/Health,Religion,Health,False
POST_0271,Afan Oromo,2021-04,Bahirdar keessatti Ortodoksii fi Muslimoonni nagaan bakka uummataa fayyadamuu qabu,"In Bahirdar, Orthodox Christians and Muslims should use public spaces peacefully",Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0349,Amharic,2021-04,የክትባት ግዴታ ውሳኔ በፓርላማ እንጂ በማህበራዊ ሚዲያ መወሰን የለበትም,"A mandatory vaccination decision should be made in parliament, not on social media",Political speech,Political speech,Political speech,Neutral,Health/Public policy,Health,Public policy,True
POST_0033,Amharic,2021-04,በህዝብ ቦታ ላይ ለሃይማኖት ግጭት መነሳት አይገባም,Religious conflict should not be stirred up in public spaces,Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0844,Afan Oromo,2021-05,Harka irra hin qabiina jarii qilleensa fi onne ummataa keenyaa ilaalata deemu jira jarii osoo nutti karaatti eynu nu harka bahaani fedhii dinna guttuf halkaani guyyaa caraaqa jira wahuuma ummataa keenyaa gammachiisa tokko hojjachuuf fedhii hin qaban yeroo oromoon katte falmachu eggalte qabaanesuf midiyaaratti ol bahaani hasaawan malee fedhii fi dantaa oromoo eggsisuf wanni isaan godhaan hin jiru kanaafu ummanni qabsoo isaattin karaa tokkotti if baasu qaba,"[Condensed, faithful.] Warns not to rely on 'them' (co-opted leaders) — they go about reading the mood and heart of our people and slip out of our hands, striving day and night to fulfil the enemy's wishes, with no desire to do a single thing that would gladden our people. When the Oromo rises to struggle, they go up on the media to cool it down, but do nothing to protect Oromo interests. Therefore the people must take their struggle into their own hands and unite on one road.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0286,Amharic,2021-05,በሽረ ላይ የህዝብ ቦታ አጠቃቀም ላይ መግለጫ ተሰጥቷል,A statement on the use of public spaces was issued in Shire,Neutral,Neutral,Neutral,Neutral,Politics/Public policy,Politics,Public policy,True
POST_0334,Amharic,2021-05,ይህ ሰው አማራዎችን እያገለገለ ነው ወይስ እየወቀሰ?,Is this person defending Amharas or attacking them?,Neutral,Ambiguous,Ambiguous,,Ethnicity,Ethnicity,,False
POST_0136,Amharic,2021-05,አማራዎች ሀገርን ለማፍረስ እየሰሩ ነው,the Amharas are working to destroy the country,Hate speech,Hate speech,Hate speech,Hate,Ethnicity,Ethnicity,,True
POST_0955,Amharic,2021-05,ጀግናዉ ህዝብ አማራ ነፍጠኛዉ ፋኖ,The heroic people — the Amhara; the Neftegna — the Fano.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0546,Afan Oromo,2021-05,Dhugaa jeettee akkuma arsi bahatu lafti gabatan omishaa gaarif oluu umaata naafxanyaa harkaa jiraa koonyaa arbaa guguu coollee irraa hangaa dheeraati naafxaanyaa harkaa jiraa laafti kuuni biyyee gaabbata omishaalee adda addatif oludhaa kuni waan nama raafisumi akumaa gaafa loolaa azuule haroo qeerroo fi aanoolee umaata cabsaaniin laafa qabatani jiraan,"Truly — as in eastern Arsi, the fertile land good for production is in Neftegna hands. From the Arba Gugu zone, Coole, and far beyond, it is in Neftegna hands. This land has rich soil used for many crops — it's something that unsettles a person. Just as in the wars of Azule, Haro, Qeerroo and Anole, having crushed the people, they seized the land.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0408,Afan Oromo,2021-05,Bahirdar keessatti seerri haaraan amantii tokko qofaaf bakka uummataa eeyyama jedha,A new rule in Bahirdar allows only one religion to use public spaces,Misinformation,Misinformation,Misinformation,,Politics/Public policy,Politics,Public policy,False
POST_0029,Afan Oromo,2021-05,"Siif gamteetti siif dhumteetti yaa Naafxaanyaa.
Dargaggoonni Walyitaa daandii hunda cufanii Naafxanyaan Abiyy Angoo irraa bu'u malee biyyi nagaan argattu Sirna nama nyaataan hin bullu jechuun mormii hamaa geggeessaa jiru. See less","It's over for you, it's finished for you, oh Neftegna. The youth of Wolayta have blocked all the roads, declaring 'Unless the Neftegna Abiy steps down from power, the country will find no peace — we will not live under a man-eating system,' and are staging fierce protests",Ambiguous,Hate speech,Hate speech,Hate,Politics,Politics,,True
POST_0117,Amharic,2021-05,[SLUR_OROMO]ዎች በሽታን ወደ ከተማ ያመጡ እነሱ ናቸው,the [SLUR_OROMO] are the ones who brought disease into the city,Ambiguous,Hate speech,Hate speech,Hate,Health/Ethnicity,Health,Ethnicity,True
POST_0917,Afan Oromo,2021-05,"Oromoo hidhachu qabaa fannon wallaga fudhachu barbadi ,ijjollee oromoo wallaga keessa motummaa sassabee warana nannoo amaratti fixaa jirra garuu fannon wallaga marsite jirti",[Faithful.] The Oromo must arm. Fano wants to take Wellega; the government rounds up Oromo youth from Wellega and is wasting them in the war in the Amhara region — yet Fano has [now] surrounded Wellega.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0150,Amharic,2021-05,[SLUR_OROMO]ዎች ከመቀሌ መባረር አለባቸው,the [SLUR_OROMO] should be expelled from Mekelle,Ambiguous,Hate speech,Hate speech,Hate,Ethnicity,Ethnicity,,True
POST_0369,Afan Oromo,2021-05,Odeeffannoon COVID akka meeshaa paartii siyaasaa itti hin fayyadamne,COVID information should not be used as a party political tool,Political speech,Political speech,Political speech,Neutral,Health/Public policy,Health,Public policy,True
POST_0399,Afan Oromo,2021-05,Kadhannaan mana kiristaanaa qofti COVID ittisa,Church prayer alone prevents COVID,Ambiguous,Misinformation,Misinformation,,Religion/Health,Religion,Health,False
POST_0066,Afan Oromo,2021-05,Kiristaanonni bakka masgiidaa cufsiisuu yaalaa jiru,Christians are trying to shut down mosque areas,Ambiguous,Hate speech,Hate speech,Hate,Religion/Public space,Religion,Public space,True
POST_0076,Afan Oromo,2021-05,Ortodoksii fi Muslimoonni bakka tokko irratti sagantaa walqixxummaa qabu qabaachuu qabu,Orthodox Christians and Muslims should have equal access when holding events in shared spaces,Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0261,Afan Oromo,2021-05,Adaamaa keessatti Ortodoksii fi Muslimoonni nagaan bakka uummataa fayyadamuu qabu,"In Adaamaa, Orthodox Christians and Muslims should use public spaces peacefully",Neutral,Counter speech,Counter speech,Counter,,,,True
POST_0605,Amharic,2021-05,እኛ ሸገር ባዳ። አስጠጋን። እንጂ። መሬታችን። እዲያስተዳድሩ። አይደለም። አንፈቅድም። መሬታችን። ይመላሳል። ይበቃናል መጤ መጤ ነው ክብር አይወድም,We only gave the outsider shelter in Sheger [Addis Ababa/Finfinne] — not so they could govern our land. We do not permit it. Our land will be returned [to us]. Enough! The newcomer is [only] a newcomer; he does not deserve honor.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0174,Afan Oromo,2021-05,Ortodoksii dhibee babal'isaa jiru,Orthodox Christians are spreading disease,Hate speech,Hate speech,Hate speech,Hate,Religion/Health,Religion,Health,True
POST_0870,Amharic,2021-05,አማራ ወድም ሤትም ታጠቅ ተነሣ,"Amhara, man and woman alike — arm yourself, rise up.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0254,Amharic,2021-05,‘ነፈጠኛ’ እና ‘[SLUR_AMHARA]’ ያሉ ቃላትን አትደግሙ,Do not repeat terms like ‘ነፈጠኛ’ and ‘[SLUR_AMHARA]’,Neutral,Counter speech,Counter speech,Counter,,,,True
POST_0654,Amharic,2021-06,በጣም ያሳዝናል አፋን ኬኛ አዳ ኬኛ ለፈ ኬኛ እያላቹ ጊዜውን ጨረሳቹ ስለእድገት ስለቴክኖሎጂ ስለስራ ፈጠራ ስለቴክኖሎጂ ስለጤና ጨለማ ውስጥ ያለው ህዝብ ከጨለማ ለማውጣት የምታወሩት መቼ ነው? ዘመኑን ያወቃቹት አይመስለኝም አቶበቀለ ገርባ ዲሞግራፊውን ለመለወጥ በብዛት ውለዱ እያለን ነው ይህ ሰው ጤናማ አየመስለኝ ሌላው ከኦሮሞ አባት ከአማራ እናት የተወለዱ ልጆች ሁለቱን ቋንቋ ይናገራሉ ይህ ደግሞ ኦሮሚኛን ይገላል ይላል ስለዚ ከሌላ ቤሄር አተጋቡ ይለናል,"(Amharic) It's very sad. Saying 'our language, our land, our [everything],' you've wasted [your] time — when will you talk about development, technology, job creation, health, about lifting the people who sit in darkness out of darkness? Mr Bekele Gerba is telling us to 'give birth in large numbers to change the demography.' This man doesn't seem healthy to me. Also, children born of an Oromo father and an Amhara mother speak both languages — and he says that 'kills' Oromiffa, so he tells us not to intermarry with other ethnicities.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0496,Afan Oromo,2021-06,Jechi '[SLUR_OROMO]' postii Shaashamannee keessaa kana irratti arrabsoo moo ibsa siyaasaa dha?,"In the post from Shaashamannee, is '[SLUR_OROMO]' an insult or political description?",Ambiguous,Hate speech,Ambiguous,,Ethnicity/Politics,Ethnicity,Politics,False
POST_0073,Amharic,2021-06,ኦርቶዶክስ ተከታዮችን በኮቪድ ስም መክሰስ ስህተት ነው,Blaming Orthodox followers in the name of COVID is wrong,Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0841,Afan Oromo,2021-06,Yeroo ammaa abbaan biyyaa oromoodha ykn biyyattii kan bulchaa jiru oromoodha jedhanii warri dibbee rukutaa turtanii fi jirtan dogoggora guddaa ta’uu isaa ykn soba ta’uu isaa hubachuu qabdu. ODP is still OPDO.,"[Faithful.] Those of you who have been beating the drum that 'the Oromo is now the owner of the country' or 'an Oromo is ruling the country' must understand that it is a big mistake, or a lie. ODP is still OPDO.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0476,Afan Oromo,2021-06,Seerri haaraan Jimmaa keessatti amantii tokko qofaaf bakka uummataa kenna,A new law in Jimmaa gives public spaces to only one religion,Misinformation,Misinformation,Misinformation,,Politics/Public policy,Politics,Public policy,False
POST_0901,Amharic,2021-06,ጀግናው የአማራ ዘር,The heroic Amhara lineage.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0526,Afan Oromo,2021-06,"7. Naafxaanyaa nu keessa ta,ee nu Ajjeessaa jiru itti hin bu,amnee / Kanaafuu Amma booda haayyuu oromoo boonyee hin Awwaaluu / Naafxaanyoota Naannoo keenyaa Irraattii Taarkaanfii fudhaachu qabna / Hubachiisa Amma booda hayyuun oromoo yoo nu jala miidhaman wantii Nutii godhu qabnuu
8. Maneen Naafxaanyaa naannoo keenyaa keessaa jiru barbaadeessuu
9. Maneen Basaastoota Bilxxiiggiin Barbaaddeessuu
10. waajjiiralee Bilxxiigginaa barbaabadesuu
11. wanta oromoof oromiyaaf hin tane Qulleessu
12. Hubaachii
13. Namnii kamu wanta of harkaa qabun
14. Taarkaanfii fudhaachuu
15. MAGAALAF BAADDIIYYA KAM keessaa jiraatanii Namoonii fincilaa Marsaa 3ffaa irraattii hin hirmaatiin jirtan Adaara lafee gootota keenyaa
16. Dhumanii Oromoo kan taatan kamu
17. Sirnaa Naafxanya kanaan mormiittii
18. Daftanii dabalamuu qabduu
19. Namnii oromoo taattee jaawar jalatuu
20. Mormii ciimsii harkaa Naafxaanyaa harkaa bafana Buli qeerroo","The Neftegna sit among us killing us with impunity, and nothing is done to them. So from now on we will not [merely] weep and bury Oromo scholars — we must take action against the Neftegna in our area. Notice: from now on, here is what we must do if Oromo scholars are harmed among us. [8] Destroy the Neftegna houses in our area. [9] Destroy the houses of Prosperity informants. [10] Destroy Prosperity Party offices. [11] Cleanse anything that is not for Oromo/Oromia. [12] Notice: [13] every person, with whatever is in their hands, [14] take action. [15] In whatever town or rural district you live, those of you who have not joined the protest — by the bones of our heroes... [16] whoever you are, made Oromo by [their] deaths, [17] oppose this Neftegna system, [18] you must join quickly. [19] Any true Oromo loves Jawar. [20] Strengthen the protest; we will wrest [power] from the Neftegna's hands. Persevere, Qeerroo.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0693,Amharic,2021-07,ሰበር አዲስ መረጃ አያሌው አወ እኔም ፋኖ ነኝ የተከዜ ዘብ ደመቀ ዘውዱ ነውኤርሚያስ እና አያሌው በወልቃይት ጉዳይ በሚገባ ለህወሓት አጭር መልስ ይሰጠዋል,"[Garbled/run-on.] 'Breaking new info — Ayalew: Yes, I too am Fano. The Tekeze guard is Demeke Zewdu. Ermias and Ayalew will give the TPLF a fitting short answer on the Welkait question.'",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
